full_address,nicks_with_at,email,name,phone_mobile,phone_landline,snils,passport,birthdate,inn,oms,age,mse,birth_certificate,driver_license,full_company_name
"Кировская область, р-н. Кирово-Чепецкий, д. Лубягино, ул. Новая, д. 22",@Rosichan,42.startsevalm@rosstat.gov.ru,Старцева Лариса Михайловна,плюс семь девятьсот сорок восемь семьсот двадцать шесть пятьдесят шесть три,семь восемь один шесть семь девять,шестьсот пятьдесят три девятьсот девяносто один одиннадцать тысяч шестьсот двадцать семь,тридцать восемь девяносто девять семь тридцать три восемьдесят девять,три марта одна тысяча девятьсот девяносто семь года,пять три девять ноль ноль семь шесть девять три пять семь девять,восемьсот восемьдесят сто девяносто два шестьсот одиннадцать сорок девять восемьдесят пять семьдесят девять,двадцать восемь,шесть тысяч шестьсот двадцать два четыре миллиона девятьсот четыре тысячи девятьсот девяносто девять,семь тире гэ гэ девятьсот шестьдесят четыре девятьсот двадцать пять,один ноль девять восемь семь семь шесть один ноль шесть,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГОДОНСКИЙ ЭЛЕКТРОДНЫЙ ЗАВОД"""
"Кемеровская область, г. Осинники, ул. 50 лет Октября, д. 20",@_tech_throwaway_,420office@lugvoda.com,Пашкова Анжела Александровна,семь девятьсот восемьдесят сто четыре сорок пять шестьдесят семь,три семь пять один четыре шесть,восемьсот двадцать один шестьсот двадцать восемь пятьсот семьдесят пять пять,сорок пять двадцать пятьсот сорок четыре восемьсот пять,двенадцать февраля одна тысяча девятьсот пятьдесят восемь года,три тысячи шестьсот тридцать восемь одна тысяча девятьсот семьдесят пять две тысячи сто восемнадцать,три шесть ноль один девять девять пять ноль пять шесть четыре два три два пять четыре,два,один один ноль пять три пять семь один ноль четыре ноль,десять тире я ша шестьдесят два шестьсот сорок восемь,двадцать четыре семьдесят четыре двадцать три восемьдесят два тридцать шесть,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЗАКЛАРСКИЙ ДЕТСКИЙ САД ""КАРЛЫГАЧ"" ВЫСОКОГОРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ ТАТАРСТАН"""
"Красноярский край, р-н. Северо-Енисейский, рп. Северо-Енисейский, ул. Набережная, д. 54",@bawurdeman,420ok@lugvoda.com,Пашкова Анжела Александровна,плюс семь девятьсот четырнадцать шестьдесят восемь восемьсот семнадцать семьдесят три,три четыре ноль четыре один ноль,двести один пятьсот пятьдесят два девяносто семь тысяч девятьсот тридцать семь,семьдесят девять шесть сорок восемь сорок восемь девяносто четыре,один четыре ноль четыре два ноль один пять,три три три один ноль девять два восемь девять семь один четыре,две тысячи двести два сорок одна тысяча сто сорок три девяносто пять,пятьдесят девять,шесть девять один восемь два шесть один шесть пять один пять,два тире и ха девяносто пятьдесят четыре семьдесят четыре,две тысячи четыреста одиннадцать триста двадцать пять четыреста восемьдесят шесть,"Общество с ограниченной ответственностью ""Центр управления проектом ""Восточная Сибирь - Тихий Океан"""
"Пермский край, г. Пермь, ул. Героев Хасана, д. 11а",@98349891384,422egor@mail.ru,Перепелятников Егор Александрович,семь девять шесть ноль ноль четыре один один ноль один два,триста десять пятьсот девяносто один,десять шестьсот пятьдесят один семьсот девяносто четыре,одиннадцать семнадцать девяносто один семьдесят пять,два семь ноль девять два ноль один ноль,шесть восемь ноль один четыре девять девять шесть девять три ноль один,два четыре ноль один девять восемь девять один один семь ноль четыре семь шесть четыре восемь,пятнадцать,четыре два два четыре ноль семь ноль пять ноль ноль восемь,двенадцать тире и краткое эль двести двадцать три девятьсот пятьдесят один,девять два пять пять два ноль четыре девять два два,ИП БАЙДИКОВ ВЛАДИМИР АЛЕКСЕЕВИЧ
"Сахалинская область, р-н. Тымовский, с. Арги-Паги, ул. Тымовская, д. 14",@FreshGraduate,423050d@mail.ru,ВАН ЦЗИНХУН,восемь девятьсот семьдесят один сто девяносто пять семьдесят пятьдесят два,пять шесть восемь восемь девять четыре,пятьсот сорок восемь триста тридцать девять восемьдесят шесть тысяч тридцать шесть,девять тысяч девятьсот пятнадцать девятьсот одиннадцать двести девяносто два,восемнадцать октября две тысячи двадцать два года,пять четыре три пять семь семь ноль девять шесть шесть шесть восемь,пять тысяч сто два сто семь тысяч шестьсот восемьдесят три девять тысяч четыреста шестьдесят пять,пять,четыре шесть два шесть семь пять шесть два три пять три,десять тире я ша восемьсот пятьдесят три пятьсот восемьдесят девять,девять тысяч пятьсот тридцать один четыреста пятьдесят семь семьсот семьдесят шесть,АДМИНИСТРАЦИЯ МЕГРЕГСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ
"обл. Белгородская, р-н. Белгородский, с. Веселая Лопань, ул. Заводская, д. 2",@theboom1,42_3203of@mail.ru,Гареева Людмила Григорьевна,восемь девятьсот шестьдесят восемь девяносто пять четыреста семьдесят девять семьдесят семь,семьдесят один четырнадцать три,четыре один пять ноль один два девять четыре семь три три,девять тысяч восемьсот семь триста двадцать три девятьсот девяносто два,два семь ноль восемь два ноль один четыре,восемьсот семьдесят пятьдесят шесть шестьсот три сто восемьдесят,ноль восемь ноль два ноль два один один один один шесть четыре ноль шесть пять девять,девяносто,тридцать два двадцать три триста шестьдесят шесть двадцать пять пятьдесят семь,семь тире эс о семьсот девяносто четыре двести тридцать девять,двадцать восемь девяносто шесть шестьсот пятьдесят четыре шестьсот девяносто четыре,"Общество с ограниченной ответственность ""ВИД"""
"Курская область, р-н. Мантуровский, с. Мантурово, ул. Маяковского, д. 21",@aerialatomj,42kadr@mail.ru,Бородина Нина Александровна,плюс семь девятьсот девяносто один шестьсот одиннадцать восемьдесят семь тридцать девять,семьдесят один пятьдесят девять восемь,триста восемьдесят семь двести сорок три семьсот пять восемь,восемьдесят девять двадцать три пятьдесят два шестьдесят три тридцать два,пять января две тысячи пятнадцать года,шестьдесят пять двадцать четыре семьдесят семь тридцать два шестьдесят шесть четыре,пятьсот тридцать двести один шестьсот двенадцать пятьдесят один восемьдесят двадцать восемь,пятьдесят,две тысячи пятьсот двадцать четыре триста сорок шесть тысяч триста девяносто шесть,двенадцать тире цэ ы шесть четыре пять пять четыре один,две тысячи восемьсот шестьдесят девять семьсот восемь сто восемьдесят три,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТ-ГРУПП"""
"Нижегородская область, г. Нижний Новгород, ул. Чаадаева, д. 38",@Conman_Khan,42kei@mail.ru,Бородина Нина Александровна,восемь девятьсот девяносто четыре восемьсот семьдесят два восемь семь,четыреста шестьдесят пять четыреста шестьдесят два,три восемь девять три два восемь четыре пять восемь четыре два,шестьдесят двадцать пять пятнадцать двадцать два восемьдесят девять,ноль восемь ноль пять один девять восемь один,восемь пять восемь девять ноль четыре ноль один шесть шесть ноль пять,семьсот шестьдесят сто девяносто три девятьсот шесть двести сорок шесть шестьдесят девять двадцать пять,пятнадцать,пять тысяч восемьсот двадцать два три миллиона триста тысяч триста девяносто шесть,двенадцать тире зэ че пятьсот восемьдесят девятьсот девяносто,ноль один шесть три пять девять ноль ноль шесть восемь,"Общество с ограниченной ответственностью ""Сервис и Питание"""
"Кировская область, р-н. Белохолуницкий, п. Подрезчиха, ул. Кирова, д. 13",@jaissakoro10,43.SkorniakovAV@rosstat.gov.ru,Скорняков Александр Владимирович,семь девятьсот шестнадцать восемьдесят четыре сто сорок девять двадцать шесть,пять два семь ноль ноль пять,двести сорок четыре сто тридцать четыре шестьсот пятьдесят три сорок пять,четыре шесть два ноль шесть семь девять пять два шесть,двадцать один ноября одна тысяча девятьсот девяносто два года,две тысячи двести тридцать девять семь тысяч девятьсот шесть две тысячи восемьсот пять,два четыре ноль два ноль ноль четыре один ноль ноль три восемь четыре ноль ноль пять,восемьдесят восемь,ноль пять один пять семь девять шесть восемь три ноль девять,три тире цэ дэ семьдесят девять сорок шесть сорок четыре,один семь два три один шесть пять пять четыре восемь,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ВОСХОД"""
"Забайкальский край, р-н. Шилкинский, пгт. Первомайский, ул. Ленина, д. 23",@0_1_2_3_4_5_6_7_8_9_,43.TrapeznikovaOIU@rosstat.gov.ru,Трапезникова Ольга Юрьевна,семь девятьсот семьдесят четыре тридцать три четыреста девяносто пятьдесят девять,пятьсот шестьдесят два восемьсот тридцать шесть,четыреста сорок восемь тысяч пятьсот девяносто два семьсот семьдесят три сорок три,шестьдесят семь двенадцать семьдесят шесть семьдесят пять пятьдесят два,четырнадцать октября одна тысяча девятьсот тридцать восемь года,сорок семь девяносто восемь одиннадцать сорок один три шесть,одна тысяча сто один девятьсот девяносто семь пятьдесят один девятьсот девяносто шесть триста девяносто три,сорок девять,восемь два ноль ноль три семь четыре один один девять один,девять тире ю жэ восемь тридцать шесть шестьдесят три,четыре два три шесть два семь восемь шесть восемь шесть,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""У ТАТЬЯНЫ"""
"Орловская область, г. Орел, ул. Курская 3-я, д. 52",@_awqwerty,43.VorozhtsovaSN@rosstat.gov.ru,Ворожцова Светлана Николаевна,восемь девятьсот один триста тридцать четыре сорок шесть девяносто восемь,восемьсот пятьдесят один шестьсот двадцать пять,четыреста восемьдесят два двести восемьдесят пять восемьдесят девять тысяч двадцать шесть,семь три девять семь ноль пять девять восемь три восемь,шестнадцать апреля одна тысяча девятьсот семьдесят два года,сто сорок три двести шесть девятьсот восемьдесят пять семьсот восемнадцать,тридцать сто девяносто три четыреста одиннадцать сто пятьдесят девяносто пять девяносто восемь,пятнадцать,десять двадцать три восемьсот двадцать пять тридцать шесть тридцать четыре,четыре тире и и восемьсот семь пятьсот четыре,девять тысяч шестьсот тридцать шесть девятьсот пятьдесят шесть сто пятьдесят четыре,"Религиозная организация Скит Патриаршего Подворья храма в честь прп.Сергия Радонежского пос. Плесково при храме вмч.Димитрия Солунского Русской Православной Церкви ""Московский Патриархат"""
"обл. Тверская, р-н. Калязинский, г. Калязин, ул. Волжская, д. 41",@stuzz123,43.buh@bashkortostan.ru,Гараева Альбина Данифовна,восемь девять девять семь два восемь два девять четыре четыре два,шесть пять ноль шесть два девять,семьсот пятьдесят три триста пятьдесят семь пятьсот сорок семь двадцать три,восемь восемь один два семь ноль девять пять ноль ноль,ноль четыре ноль три два ноль один семь,четыреста шестьдесят пять пятьсот пять триста девяносто два шестьсот пятьдесят четыре,восемь тысяч шестьсот два семнадцать тридцать семь семьсот восемь семьдесят три,семьдесят один,сорок восемь пять двести восемьдесят два семьдесят три пятьдесят,шесть тире и у двадцать восемь пятьсот четыре,шесть тысяч четыреста шестьсот шестьдесят шесть девятьсот семьдесят пять,"Общество с ограниченной ответственностью ""Гела"""
"Ленинградская область, р-н. Лужский, г. Луга, ул. Луговая, д. 12а",@Aatghhgh,43.kadry@bashkortostan.ru,Берестова Ирина Яхиевна,семь девятьсот восемьдесят семь двадцать восемьсот девяносто шесть шестьдесят три,пятнадцать семь девять,четыреста шестьдесят девять тысяч семьсот пятьдесят восемь тридцать пятьдесят,одна тысяча четыреста три пятьсот семьдесят пятьсот двадцать пять,семнадцать апреля одна тысяча девятьсот девяносто пять года,восемь тысяч девятьсот девяносто шесть семь тысяч двести семьдесят два четыре тысячи двести сорок,восемьсот пятьдесят сто девяносто семь четыреста девять десять семьдесят семь пять,пятьдесят два,два два один один пять восемь четыре шесть два девять два,один тире ща вэ шестьдесят пять восемь семьдесят один,пятьдесят три семьдесят девять тридцать один девяносто один девяносто два,Индивидуальный предприниматель Седова Татьяна Васильевна
"Республика Карелия, р-н. Пудожский, п. Шальский, ул. Стеклянская, д. 89",@Rigsec,43.makarovana@rosstat.gov.ru,Макарова Наталья Алексеевна,семь девятьсот пятьдесят четыре триста восемьдесят два семьдесят два,восемьдесят три восемьдесят восемь двадцать три,девятьсот девятнадцать тысяч четыреста четырнадцать двести восемьдесят один восемнадцать,три семь ноль четыре пять восемь девять три восемь два,тринадцать июля две тысячи семнадцать года,шестьдесят один сорок два сорок четыре двадцать двадцать четыре девяносто девять,две тысячи девятьсот два пятнадцать восемьдесят шесть триста тридцать двадцать восемь,пятьдесят один,шесть тысяч двадцать один пять миллионов пятьсот пятьдесят три тысячи шестьсот тридцать три,семь тире ха о четыреста сорок один двести семь,сорок четыре сорок один пятьдесят девять пять тридцать два,Общество с ограниченной ответственностью «СтройХолдинг»
"Москва, ул. Каховка, д. 29, к. 1",@rjpaiz,433141school@mail.ru,Зимин Александр Борисович,семь девятьсот сорок семь девятьсот тридцать четыре семнадцать сорок три,сорок восемь тридцать четыре сорок два,семьсот тридцать восемь восемьсот семьдесят три восемьсот девять шестьдесят девять,семь тысяч девяносто девять девять восемьсот сорок один,два шесть ноль семь два ноль один один,восемьсот тридцать один двести четырнадцать триста четырнадцать триста десять,одна тысяча один девять тысяч пятьсот восемьдесят семь тысяч сто тринадцать шестьсот семьдесят пять,пятьдесят четыре,восемь семь ноль семь два один четыре семь три пять два,три тире е о шесть два четыре шесть один восемь,два восемь ноль шесть ноль семь четыре семь шесть семь,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОЛОТОЙ ПУТЬ"""
"Респ. Татарстан, г. Казань, ул. Ломжинская, д. 6",@kfjnenxww,434159os@mail.ru,Хонгорова Надежда Семеновна,восемь девятьсот пятнадцать шестьдесят девять сто семьдесят шесть девяносто девять,сто семьдесят три четыреста шестнадцать,пятьсот одиннадцать восемьсот три восемьдесят шесть сорок один,семь шесть один ноль пять семь три семь два ноль,два четыре ноль четыре два ноль один три,девятьсот двенадцать восемьдесят восемь триста тридцать четыре триста сорок восемь,шесть тысяч девятьсот два сто сорок один одна тысяча шестьсот пятьдесят семь семь тысяч семьсот,восемьдесят восемь,семь три ноль один восемь девять три ноль пять ноль шесть,шесть тире бэ че тридцать семь восемь тридцать четыре,двадцать семь шестьдесят шесть сорок три семьдесят шесть пятьдесят пять,"ООО ""Обьединенные коммунальные сети"""
"Кировская область, р-н. Советский, г. Советск, ул. Конева, д. 26",@eliiestarr,43_vtl@mail.ru,Плюснина Ольга Юрьевна,восемь девятьсот пятьдесят пять семьдесят девять семьсот девять пятьдесят три,три один семь два четыре один,девятьсот шестьдесят семь тысяч шестьсот восемьдесят пять шестьсот восемь девяносто восемь,семь тысяч семьсот семнадцать девятьсот сорок семь восемьсот тридцать шесть,один декабря две тысячи двадцать два года,пять четыре три пять ноль ноль четыре девять четыре четыре два шесть,шесть тысяч четыреста один девятьсот шестьдесят четыре двадцать сто пятьдесят четыре триста шестьдесят,восемьдесят пять,девяносто пять восемнадцать пятьсот двадцать один сорок три семьдесят восемь,восемь тире ы эр пятьсот шестьдесят сорок четыре,одиннадцать семьдесят девять тридцать шесть двести двадцать два,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛ-КОМПОНЕНТ №1"""
"Калужская область, г. Обнинск, ул. Шацкого, д. 15",@kittizrs273,43fin@mail.ru,Андрей Владимирович,семь девятьсот шестьдесят семь сорок один семьсот тридцать шесть девяносто девять,двести восемьдесят восемьсот семьдесят четыре,сто один триста восемьдесят два семьдесят семь тысяч четыреста двадцать,три три один три ноль один девять один один семь,шесть мая одна тысяча девятьсот сорок пять года,пятьсот сорок три девятьсот семьдесят восемь сто четыре восемьдесят,пять тысяч четыреста один девять тысяч девятьсот восемь тысяч пятьсот тридцать пять четыре тысячи пятьсот сорок семь,двадцать четыре,девять пять два четыре семь два три шесть девять два один,четыре тире эль и девятьсот тридцать три девятьсот восемьдесят пять,два три один пять девять ноль четыре один три ноль,"ООО ""СЕМЕЛА"""
"Самарская область, г. Сызрань, ул. Астраханская, д. 27",@zonedog,43plus@mail.ru,Бронникова Людмила Петровна,восемь девятьсот семьдесят восемьдесят один шестьсот семьдесят семь шестьдесят четыре,девять девять шесть три ноль два,восемьсот двадцать девятьсот двадцать один девятьсот девяносто ноль,девяносто восемь девяносто восемь девяносто один пятьдесят четыре семнадцать,один сентября одна тысяча девятьсот сорок четыре года,четыре тысячи сто девяносто три три тысячи четыреста шестьдесят семь девять тысяч семьсот девяносто четыре,восемь тысяч четыреста двенадцать двадцать четыре шестьдесят семь сто пятьдесят один сто тридцать пять,пятнадцать,три тысячи четыреста двадцать два пять миллионов двести семьдесят одна тысяча сто пятьдесят восемь,пять тире ка ы двести один четыреста семьдесят девять,четыре тысячи восемьсот одиннадцать девятьсот сорок четыре пятьсот сорок пять,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ТОЛЬЯТТИ ""ШКОЛА С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ № 47 ИМЕНИ М.В. ДЕМИДОВЦЕВА"""
"Ханты-Мансийский Автономный округ - Югра, г. Сургут, ул. Есенина, д. 14",@windofadream,43sad@bk.ru,Анастасия Николаевна,плюс семь девять четыре четыре два восемь пять один шесть восемь семь,семь шесть восемь три шесть один,пять ноль шесть пять девять шесть три шесть девять один четыре,девяносто четыре двенадцать двести сорок три четыреста шестьдесят пять,тридцать один июля одна тысяча девятьсот шестьдесят семь года,четыреста семьдесят пятьсот тринадцать четыреста пятьдесят семь четыреста девяносто три,восемь тысяч пятьсот два тринадцать девяносто пятьсот девяносто один четыреста девяносто восемь,сорок пять,два ноль один шесть два девять восемь три два шесть шесть,двенадцать тире и краткое эль восемь два семь пять семь два,двадцать три три сорок два девяносто семь сорок четыре,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ГЕФЕСТ"""
"Республика Карелия, р-н. Беломорский, п. Пушной, ул. Школьная, д. 3",@NonSequitur123,43sd@mail.ru,Мельникова Галина Юрьевна,плюс семь девятьсот шестьдесят четыре семь тридцать восемьдесят восемь,шестьсот семьдесят один семьсот семьдесят два,двести девять четыреста девяносто девятьсот шестьдесят два девяносто,два семь ноль один восемь два ноль один два пять,двадцать восемь сентября две тысячи семь года,две тысячи двести сорок четыре четыре тысячи семьсот семьдесят два две тысячи триста восемьдесят шесть,восемьсот двадцать один девятьсот пятьдесят девять шестьдесят один двести шестьдесят пять четыреста пятьдесят два,двадцать два,шестьдесят пять четыре восемьсот три пятьдесят шесть тридцать шесть,шесть тире о э ноль пять шесть пять семь восемь,один восемьдесят три девяносто девять четыреста семьдесят шесть,"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЦЕНТРАЛЬНОЕ-ОЛЬХОВКА"""
"Москва, ул. Лодочная, д. 5, стр. 1",@norights_throwaway,43sm43@mail.ru,Ложкина Елена Николаевна,восемь девять пять девять семь один два один семь восемь семь,четыре один два три девять три,пятьсот шестьдесят два шестьсот восемнадцать восемьдесят две тысячи сто семь,восемнадцать четыре шестьсот семьдесят пять триста шестьдесят восемь,два четыре ноль один два ноль один три,два шестьдесят семь пятьдесят четыре девяносто четыре пятьдесят пять тридцать семь,шесть восемь ноль один девять пять восемь ноль шесть один пять шесть ноль три восемь пять,восемь,четыреста один один миллион двести восемьдесят четыре тысячи семьсот восемьдесят шесть,пять тире и я четыре семь три четыре четыре четыре,двадцать пять девяносто десять сорок пять семь,ПРОФСТАНДАРТ ООО
"Томская область, г. Стрежевой, ул. Новая, д. 17",@CrashPerfectNight,44.kadr@bashkortostan.ru,Сырлыбаева Фируза Янсафовна,семь девятьсот восемьдесят семь сто пятьдесят четырнадцать двадцать два,тридцать три пятьдесят семь семнадцать,девять два шесть ноль два шесть шесть восемь шесть один один,семьдесят один двадцать шесть пятьдесят четыре тридцать шесть семьдесят девять,ноль два ноль шесть один девять семь шесть,пятьдесят три шестьдесят двадцать один девяносто пять сорок пять девять,два три ноль один девять четыре восемь ноль шесть пять семь три два семь два восемь,девяносто,девять тысяч четырнадцать один миллион пятьсот пятьдесят пять тысяч пятьсот сорок шесть,десять тире пэ о шестьдесят семь девятьсот восемнадцать,восемь тысяч пятьсот тридцать семь триста семьдесят четыре тридцать пять,"МБУК ""Черемушкинский СДК"""
"Респ. Удмуртская, г. Воткинск, ул. Гастелло, д. 8",@Jepiero,441hospital@mail.ru,Ким Ольга Сергеевна,восемь девятьсот пятьдесят шесть сто шестьдесят один восемь тридцать восемь,девять шесть ноль шесть девять три,двести тридцать шесть семьсот семьдесят семь тридцать три тысячи триста пять,семьдесят восемь четырнадцать двадцать четыре двадцать семь пятьдесят,четыре июня одна тысяча девятьсот пятьдесят семь года,девять девять восемь шесть семь ноль шесть восемь семь два восемь ноль,восемьсот семьдесят двести два триста десять двести семьдесят шесть семнадцать шестьдесят два,тринадцать,восемь ноль два три шесть шесть девять ноль шесть семь три,двенадцать тире эр ы шесть три пять два два восемь,тридцать четыре сорок четыреста девяносто два двести пятьдесят два,"ООО ""ЭлКапСтрой"""
"Орловская область, р-н. Свердловский, пгт. Змиевка, ул. Котовского, д. 3а",@TailgateMayor,441hospital_kadry@mail.ru,Ким Ольга Сергеевна,семь девятьсот тридцать четыре девяносто три сто пятьдесят шесть девяносто три,триста девяносто девять шестьсот тридцать один,семьсот пятнадцать тысяч двести восемьдесят три триста шестьдесят один девяносто один,восемьдесят четыре двадцать семьдесят один четыреста восемь,двадцать восемь февраля одна тысяча девятьсот сорок шесть года,один восемь семь девять семь три ноль восемь два шесть пять три,сто девяносто двести два пятьсот три семьсот сорок один ноль пятьдесят девять,восемьдесят два,пять восемь один два пять пять четыре три два один один,четыре тире ю ы семьсот семьдесят один двести двадцать два,одна тысяча сто пятьдесят шесть четыреста пятьдесят четыреста пятьдесят три,Индивидуальный предприниматель Бадалян Микаел Андроникович
"Кемеровская область, г. Березовский, ул. Волкова, д. 9",@iP0st3d,444majk@mail.ru,Жарников Алексей Александрович,семь девятьсот девяносто шесть четыреста двадцать девять пятьдесят два тридцать семь,пять девять шесть девять четыре четыре,три четыре один девять четыре один четыре девять шесть семь девять,восемь тысяч пятьсот пятнадцать шестьсот десять пятьсот десять,девять января одна тысяча девятьсот тридцать семь года,семь тысяч восемьсот семьдесят один шесть тысяч сто пятьдесят семь три тысячи девятьсот тридцать шесть,две тысячи шестьсот два пять пятнадцать семьсот сорок один триста пятнадцать,девяносто два,две тысячи сто двадцать четыре три миллиона восемьсот пятьдесят три тысячи пятьсот сорок,пять тире зэ эм пять четыре ноль один пять один,семь шесть семь три семь ноль девять пять четыре семь,"Муниципальное унитарное предприятие ""Энергия"""
"Респ. Удмуртская, г. Ижевск, ул. Автозаводская, д. 56",@blistv,449351stroi@mail.ru,Шитикова Манефа Анатольевна,плюс семь девять шесть три восемь пять три один два восемь два,пятьдесят шесть шестнадцать шестьдесят три,сто двадцать один двадцать пять сто пятьдесят четыре семьдесят девять,девяносто четыре двадцать два сорок шесть двадцать девять девяносто три,двадцать девять сентября одна тысяча девятьсот восемьдесят четыре года,четыреста девяносто тридцать шесть двести семьдесят два четыреста восемь,четыреста десять двести семьсот десять двести девятнадцать двадцать девять семьдесят пять,девяносто четыре,один шесть ноль четыре один восемь пять восемь девять один девять,десять тире ка ю четыре один восемь три девять три,пятьдесят семь восемьдесят семь девятьсот двадцать четыре семьдесят восемь,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА № 6 ИМЕНИ Н.Я. ИЛЬИНА ГОРОДСКОГО ОКРУГА ДЕБАЛЬЦЕВО"" ЧУВАШСКОЙ НАРОДНОЙ РЕСПУБЛИКИ"
"Вологодская область, р-н. Грязовецкий, д. Путилово, д. 29",@Rizma42,44mbdou@mail.ru,Вахрушева Валентина Михайловна,восемь девятьсот двадцать четыре двадцать пять восемьдесят семь семьдесят шесть,четырнадцать сорок три пятьдесят семь,двести восемьдесят одна тысяча четыреста шестьдесят шесть сто шестьдесят четыре восемьдесят пять,пятнадцать семь тридцать шесть восемьдесят два девятнадцать,один пять ноль девять два ноль два один,пять тысяч двести пятьдесят два семь тысяч четыреста четырнадцать восемь тысяч восемьсот сорок семь,пятьсот семьдесят сто девяносто восемь четыреста четыре пятьсот восемьдесят пять тридцать два шестьдесят шесть,пять,четыре тысячи пять пять миллионов сто двадцать три тысячи семьсот тридцать четыре,девять тире цэ тэ шестнадцать девяносто восемь восемьдесят семь,восемьдесят семь восемьдесят шестьсот девять четыреста одиннадцать,"Общество с ограниченной ответственностью ""Профстиль"""
"Ханты-Мансийский Автономный округ - Югра, г. Нягань, мкр. 2-й, д. 13",@sergiodxd,44school@mail.ru,Суслопаров Дмитрий Афанасьевич,восемь девять девять пять восемь один два девять девять ноль девять,девятнадцать девяносто семь двадцать шесть,двести семьдесят семьсот тридцать семь пятьдесят шесть тысяч восемьсот девяносто три,тридцать семь двадцать три девяносто два семьдесят пять шестьдесят девять,тринадцать ноября одна тысяча девятьсот восемьдесят четыре года,двести тридцать шесть двести девяносто четыре шестьсот два шестьсот пятьдесят,восемьсот десять сто девяносто три четыреста семь пятьсот сорок сорок тридцать девять,тридцать шесть,семь тысяч пятьсот восемь два миллиона восемьдесят одна тысяча пятьсот семьдесят шесть,семь тире ка ща тридцать семь девять семьдесят шесть,пятнадцать девятнадцать шестьдесят девять сорок четыре двадцать пять,"Общество с ограниченной ответственностью "" ЛИДЕР-СТРОЙ"""
